L,Vgs,Vds,W,id,gm,gds,cgg,vth,vdsat,V_star,gm_id,id_over_w,gm_over_gds,ft,K
2.8e-07,0.3,0.3,1e-05,2.69803e-09,7.42227e-08,2.89033e-09,3.11215e-15,0.651242,0.0488296,0.07270093920054108,27.509960971523668,0.000269803,25.679662875865386,3795739.149664001,4.12649414572855
2.8e-07,0.35,0.3,1e-05,9.37306e-09,2.55395e-07,9.99095e-09,3.29395e-15,0.655738,0.048866,0.07340049726893635,27.247771805578967,0.000937306,25.56263418393646,12340010.22813176,4.087165770836845
2.8e-07,0.4,0.3,1e-05,4.09295e-08,1.09136e-06,4.30956e-08,3.5862e-15,0.651161,0.0490237,0.07500641401554024,26.66438632282339,0.00409295,25.324163023603337,48434370.27850396,3.9996579484235086
2.8e-07,0.45,0.3,1e-05,1.24355e-07,3.22001e-06,1.28609e-07,3.86433e-15,0.658845,0.0494478,0.07723889056245167,25.893691447871014,0.012435499999999999,25.03720579430677,132618205.04598051,3.884053717180652
2.8e-07,0.5,0.3,1e-05,4.93426e-07,1.20288e-05,4.8927e-07,4.27703e-15,0.654166,0.0512277,0.08204076882149507,24.37812356868102,0.04934259999999999,24.585198356735546,447610369.6873276,3.656718535302153
2.8e-07,0.55,0.3,1e-05,1.50154e-06,3.39706e-05,1.39831e-06,4.65948e-15,0.65685,0.0556275,0.08840232436283138,22.623839524754587,0.15015399999999998,24.294040663372215,1160341692.5917785,3.393575928713188
2.8e-07,0.6,0.3,1e-05,5.15658e-06,0.000102302,4.2477e-06,5.12418e-15,0.649022,0.0681447,0.10081093233758871,19.839118175224662,0.515658,24.08409256774254,3177458439.825899,2.9758677262836994
2.8e-07,0.65,0.3,1e-05,1.20157e-05,0.000204919,8.71925e-06,5.46613e-15,0.653189,0.0852858,0.11727267847295761,17.054270662549833,1.2015699999999998,23.501906700691,5966537894.8997,2.5581405993824746
2.8e-07,0.7,0.3,1e-05,2.60756e-05,0.000361891,1.65392e-05,5.7992e-15,0.653047,0.110482,0.14410747987653744,13.878530120112288,2.60756,21.88080439198994,9931842583.540676,2.081779518016843
2.8e-07,0.75,0.3,1e-05,5.13976e-05,0.000557678,2.96397e-05,6.11012e-15,0.648015,0.143091,0.18432715653118822,10.850273164505737,5.139759999999999,18.815237671096536,14526263044.523188,1.6275409746758605
2.8e-07,0.8,0.3,1e-05,8.24215e-05,0.000720749,4.70573e-05,6.34045e-15,0.649566,0.17383,0.22871068846436138,8.744672203247939,8.242149999999999,15.316412118842347,18091896644.32974,1.3117008304871909
2.8e-07,0.85,0.3,1e-05,0.000117411,0.000847817,7.12191e-05,6.5252e-15,0.654927,0.20259,0.2769725070386652,7.22093330267181,11.7411,11.904348692977024,20678947218.068634,1.0831399954007714
2.8e-07,0.9,0.3,1e-05,0.000165821,0.000963803,0.000116728,6.72486e-15,0.651795,0.236359,0.3440972895913377,5.812309659210835,16.582099999999997,8.256827839078884,22809993310.90878,0.8718464488816253
2.8e-07,0.95,0.3,1e-05,0.000209506,0.00102597,0.000173763,6.88383e-15,0.657752,0.263784,0.4084057038704836,4.897091252756484,20.950599999999998,5.904421539683361,23720544662.490486,0.7345636879134726
2.8e-07,1.0,0.3,1e-05,0.000261798,0.00106502,0.000263841,7.06662e-15,0.657857,0.293879,0.491630204127622,4.068098304799884,26.179799999999997,4.036597799432234,23986459932.99914,0.6102147457199826
2.8e-07,1.05,0.3,1e-05,0.000320843,0.00107739,0.000391535,7.27351e-15,0.653128,0.325662,0.5955930535831965,3.357997525269368,32.0843,2.7517080209942915,23574855075.16689,0.5036996287904052
2.8e-07,1.1,0.3,1e-05,0.000375799,0.00106844,0.000529922,7.46667e-15,0.652038,0.354362,0.7034536333345813,2.8431156016913293,37.579899999999995,2.016221255203596,22774209573.625813,0.42646734025369937
2.8e-07,1.15,0.3,1e-05,0.000431552,0.00104823,0.000682742,7.65437e-15,0.649591,0.38284,0.823391812865497,2.428977272727273,43.155199999999994,1.5353237386889924,21795521512.18421,0.36434659090909094
2.8e-07,1.2,0.3,1e-05,0.000474097,0.00102533,0.000806805,7.78965e-15,0.657798,0.405214,0.9247695863770687,2.1627008818870403,47.409699999999994,1.2708523125166553,20949123234.08793,0.324405132283056
2.8e-07,1.25,0.3,1e-05,0.000536027,0.000994001,0.000989005,7.95852e-15,0.647573,0.435896,1.078524065871161,1.854386066373522,53.6027,1.0050515417010024,19878089467.42448,0.27815790995602835
2.8e-07,1.3,0.3,1e-05,0.000574872,0.000968212,0.00110886,8.05423e-15,0.656849,0.456687,1.1874919955546928,1.6842218789574026,57.4872,0.8731598217989648,19132272825.694096,0.25263328184361034
2.8e-07,1.35,0.3,1e-05,0.000628197,0.000936872,0.00127196,8.16361e-15,0.651587,0.483635,1.3410519259834854,1.4913665617632685,62.8197,0.7365577533884714,18264935469.037617,0.2237049842644903
2.8e-07,1.4,0.3,1e-05,0.000682027,0.000904981,0.0014382,8.25541e-15,0.644262,0.51081,1.5072736333690984,1.326899081707909,68.2027,0.6292455847587263,17447007423.525486,0.19903486225618633
2.8e-07,1.45,0.3,1e-05,0.000714029,0.00088081,0.00154168,8.30568e-15,0.65636,0.529242,1.6213008480830147,1.2335773476987628,71.4029,0.571331274972757,16878240604.594969,0.1850366021548144
2.8e-07,1.5,0.3,1e-05,0.000765494,0.000849956,0.00170295,8.3707e-15,0.648376,0.55572,1.80125559440724,1.1103365931019706,76.54939999999999,0.49910801843859187,16160500174.49138,0.16655048896529562
2.8e-07,1.55,0.3,1e-05,0.000800393,0.000825191,0.00181609,8.41065e-15,0.655292,0.575751,1.9398975509912253,1.030982279954972,80.0393,0.454377811672329,15615110204.91213,0.15464734199324578
2.8e-07,1.6,0.3,1e-05,0.0008446,0.000797533,0.00195726,8.45292e-15,0.651619,0.599694,2.11803147957514,0.9442730286526166,84.46,0.4074742241705241,15016268843.06353,0.1416409542978925
2.8e-07,1.65,0.3,1e-05,0.000887089,0.000770884,0.00209385,8.48798e-15,0.648251,0.623157,2.3014850483341203,0.8690041247270567,88.70889999999999,0.3681658189459608,14454557992.64992,0.1303506187090585
2.8e-07,1.7,0.3,1e-05,0.000922287,0.0007471,0.00220913,8.51412e-15,0.65112,0.643996,2.468978717708473,0.8100515349343533,92.2287,0.33818743125121653,13965583992.703299,0.12150773024015299
2.8e-07,1.75,0.3,1e-05,0.000963486,0.000721764,0.00234267,8.54008e-15,0.646363,0.667401,2.669808968028331,0.7491172679208623,96.34859999999999,0.3080946099962863,13450963965.885418,0.11236759018812933
2.8e-07,1.8,0.3,1e-05,0.000990942,0.000701287,0.00243537,8.5567e-15,0.655116,0.685735,2.8260669312278712,0.7076973223458083,99.0942,0.28795911914821976,13043964679.85158,0.10615459835187124
2.8e-07,0.3,0.5,1e-05,3.55005e-09,9.7559e-08,3.50242e-09,3.1386e-15,0.644447,0.0488289,0.07277749874434958,27.481021394064868,0.000355005,27.8547404366124,4947109.25033525,6.870255348516218
2.8e-07,0.35,0.5,1e-05,1.2847e-08,3.49196e-07,1.25951e-08,3.33518e-15,0.647388,0.0488739,0.07358045338434575,27.181131781738927,0.0012847,27.724750101229844,16663649.190723589,6.795282945434732
2.8e-07,0.4,0.5,1e-05,3.58152e-08,9.58875e-07,3.47925e-08,3.53728e-15,0.659297,0.0489875,0.07470254204145482,26.772850633250687,0.0035815199999999995,27.559818926492778,43143233.2349266,6.693212658312673
2.8e-07,0.45,0.5,1e-05,2.19989e-07,5.59048e-06,2.06332e-07,3.99888e-15,0.640115,0.0498195,0.07870129219673444,25.41254335444045,0.0219989,27.09458542543086,222500431.68496656,6.353135838610113
2.8e-07,0.5,0.5,1e-05,7.84821e-07,1.86442e-05,6.9803e-07,4.39824e-15,0.63849,0.052265,0.0841892921122923,23.75599021942583,0.0784821,26.70974026904288,674659998.0887617,5.938997554856457
2.8e-07,0.55,0.5,1e-05,1.87869e-06,4.17271e-05,1.56981e-06,4.70442e-15,0.650423,0.0565686,0.09004651653242138,22.21074259191245,0.18786899999999998,26.580987508042377,1411666948.5058365,5.552685647978112
2.8e-07,0.6,0.5,1e-05,5.42631e-06,0.000106862,4.00479e-06,5.10422e-15,0.649924,0.0678876,0.10155733562912916,19.69330908112511,0.542631,26.683546453122382,3332069450.1189446,4.923327270281278
2.8e-07,0.65,0.5,1e-05,1.39e-05,0.000230182,8.62142e-06,5.48153e-15,0.648148,0.0875613,0.12077399622907091,16.559856115107912,1.39,26.69885007342178,6683280600.63133,4.139964028776978
2.8e-07,0.7,0.5,1e-05,2.91818e-05,0.000394462,1.50558e-05,5.79454e-15,0.648755,0.112899,0.14795747118860625,13.517397830154412,2.9181799999999996,26.20000265678343,10834436756.311152,3.379349457538603
2.8e-07,0.75,0.5,1e-05,5.71826e-05,0.000604774,2.42763e-05,6.08731e-15,0.642762,0.146379,0.18910402894304318,10.576189260369413,5.718259999999999,24.912115931999523,15812037099.05655,2.6440473150923536
2.8e-07,0.8,0.5,1e-05,8.6775e-05,0.000761594,3.24713e-05,6.26982e-15,0.649356,0.174004,0.22787732046208348,8.776652261596082,8.677499999999998,23.454373554492737,19332524654.476357,2.1941630653990205
2.8e-07,0.85,0.5,1e-05,0.000134114,0.0009411,4.44396e-05,6.45476e-15,0.644057,0.209504,0.28501540750185955,7.017164501841717,13.4114,21.17705829935463,23204691877.588432,1.754291125460429
2.8e-07,0.9,0.5,1e-05,0.000185857,0.00107917,5.73759e-05,6.58652e-15,0.642981,0.241825,0.3444443414846595,5.806453348542159,18.5857,18.80876814132763,26076781052.282646,1.4516133371355395
2.8e-07,0.95,0.5,1e-05,0.000238365,0.00118192,7.13979e-05,6.68162e-15,0.646468,0.270553,0.4033521727358874,4.95844608059069,23.8365,16.553988282568532,28153114115.913948,1.2396115201476725
2.8e-07,1.0,0.5,1e-05,0.000293445,0.00126331,8.79381e-05,6.75751e-15,0.651255,0.297715,0.4645653085940901,4.305099763158343,29.344499999999996,14.36590055959817,29753863650.578735,1.0762749407895857
2.8e-07,1.05,0.5,1e-05,0.000371223,0.00134954,0.000115834,6.84088e-15,0.642275,0.331655,0.550147457652237,3.6353889710497462,37.122299999999996,11.650637981939672,31397416984.399147,0.9088472427624366
2.8e-07,1.1,0.5,1e-05,0.000430727,0.00139483,0.000142325,6.89568e-15,0.648578,0.356236,0.6176050127972584,3.2383156848769636,43.0727,9.800316177762163,32193212166.58377,0.809578921219241
2.8e-07,1.15,0.5,1e-05,0.000506981,0.00143684,0.00018423,6.9615e-15,0.645007,0.38521,0.7056888728042092,2.834110154029441,50.6981,7.799164088367801,32849269328.759445,0.7085275385073603
2.8e-07,1.2,0.5,1e-05,0.000571472,0.00145692,0.000228944,7.01914e-15,0.650095,0.409045,0.7844933146638112,2.5494162443654282,57.14719999999999,6.363652246837654,33034819036.15602,0.6373540610913572
2.8e-07,1.25,0.5,1e-05,0.000636586,0.00146579,0.000284073,7.08275e-15,0.655159,0.432356,0.8685909987105929,2.3025796985796108,63.65859999999999,5.159906080479314,32937450006.659737,0.5756449246449027
2.8e-07,1.3,0.5,1e-05,0.000729188,0.0014666,0.000378829,7.18536e-15,0.643145,0.463001,0.9943924723851084,2.0112782986006352,72.91879999999999,3.8714037204121117,32485030609.262962,0.5028195746501588
2.8e-07,1.35,0.5,1e-05,0.000792156,0.00145292,0.000458176,7.26877e-15,0.6494,0.484655,1.0904330589433693,1.8341336807396522,79.2156,3.1710958234390274,31812727588.997387,0.45853342018491305
2.8e-07,1.4,0.5,1e-05,0.00087084,0.00143026,0.000568861,7.38398e-15,0.645303,0.510415,1.2177366352970789,1.6423912544210189,87.08399999999999,2.514252163533798,30827947652.43327,0.4105978136052547
2.8e-07,1.45,0.5,1e-05,0.000943823,0.0014012,0.000683635,7.50118e-15,0.643937,0.534486,1.3471638595489581,1.4846003964726437,94.38229999999999,2.0496317479356674,29729710027.004253,0.3711500991181609
2.8e-07,1.5,0.5,1e-05,0.0010082,0.00136963,0.000793601,7.6098e-15,0.647047,0.556313,1.4722224250344982,1.3584903788930769,100.81999999999998,1.7258420793320572,28645087217.397648,0.3396225947232692
2.8e-07,1.55,0.5,1e-05,0.00106873,0.00133661,0.000902517,7.71239e-15,0.651629,0.57726,1.5991650518849925,1.2506526437921646,106.87299999999999,1.4809804136653382,27582641501.020855,0.31266316094804114
2.8e-07,1.6,0.5,1e-05,0.00113582,0.00130033,0.0010254,7.82042e-15,0.650868,0.600039,1.746971922511978,1.1448380905425155,113.582,1.2681197581431634,26463277822.761982,0.2862095226356288
2.8e-07,1.65,0.5,1e-05,0.00120137,0.00126366,0.00114829,7.9193e-15,0.649912,0.622585,1.9014133548581105,1.0518491388997562,120.13699999999999,1.1004711353403758,25395898044.966656,0.26296228472493904
2.8e-07,1.7,0.5,1e-05,0.00127124,0.00122544,0.00127999,8.01439e-15,0.644789,0.646389,2.0747486617051836,0.9639721846386204,127.124,0.9573824795506215,24335580557.2891,0.24099304615965514
