L,Vgs,Vds,W,id,gm,gds,cgg,vth,vdsat,V_star,gm_id,id_over_w,gm_over_gds,ft,K
2.8e-07,1.1,1.2,1e-05,0.000112155,0.000511542,1.46853e-05,9.42976e-15,0.728827,0.359206,0.4384977186623972,4.561027149926441,11.215499999999999,34.833609119323405,8633776246.597404,2.736616289955865
2.8e-07,1.15,1.2,1e-05,0.000136666,0.000552212,1.71421e-05,9.46091e-15,0.732398,0.39609,0.49497656697065623,4.040595319977171,13.666599999999999,32.21378944236704,9289515430.826601,2.424357191986302
2.8e-07,1.2,1.2,1e-05,0.000167021,0.000595961,2.01944e-05,9.49015e-15,0.729843,0.437275,0.5605098320192093,3.568180049215368,16.702099999999998,29.51120112506437,9994587971.737963,2.140908029529221
2.8e-07,1.25,1.2,1e-05,0.000192474,0.000626533,2.27515e-05,9.50989e-15,0.737279,0.47044,0.6144097757021577,3.255156540623669,19.247399999999995,27.53809638924906,10485486578.72956,1.9530939243742012
2.8e-07,1.3,1.2,1e-05,0.000235689,0.000674925,2.72368e-05,9.53597e-15,0.722896,0.519531,0.6984153794866096,2.8636253707215866,23.5689,24.779893379545324,11264470207.676563,1.7181752224329518
2.8e-07,1.35,1.2,1e-05,0.000264858,0.000700966,3.03057e-05,9.55058e-15,0.729511,0.552589,0.7556942847441958,2.646572880562415,26.485799999999994,23.129840261073,11681196727.251488,1.587943728337449
2.8e-07,1.4,1.2,1e-05,0.000295297,0.000725289,3.35952e-05,9.56373e-15,0.735824,0.58562,0.8142878218199917,2.456133993911215,29.529699999999995,21.589066295185024,12069906774.885708,1.4736803963467289
2.8e-07,1.45,1.2,1e-05,0.000339377,0.000758958,3.85741e-05,9.5796e-15,0.727821,0.62862,0.8943235330545299,2.2363271523998387,33.93769999999999,19.67532619037126,12609286118.328398,1.341796291439903
2.8e-07,1.5,1.2,1e-05,0.000370736,0.000778009,4.22389e-05,9.58954e-15,0.735601,0.660056,0.9530378183285797,2.0985526088645288,37.07359999999999,18.419253342298212,12912400190.205414,1.2591315653187174
2.8e-07,1.55,1.2,1e-05,0.0004105,0.000801194,4.71071e-05,9.60051e-15,0.735309,0.696924,1.024720604497787,1.9517515225334956,41.05,17.00792449545822,13282001214.057169,1.1710509135200975
2.8e-07,1.6,1.2,1e-05,0.000458923,0.000827288,5.33844e-05,9.61204e-15,0.727461,0.738673,1.1094636934175282,1.8026727795294635,45.8923,15.496811802698918,13698130111.88134,1.0816036677176781
2.8e-07,1.65,1.2,1e-05,0.000494959,0.000842458,5.83322e-05,9.61984e-15,0.73309,0.770901,1.1750354320334069,1.702076333595308,49.4959,14.442417738401776,13938002612.030134,1.021245800157185
2.8e-07,1.7,1.2,1e-05,0.000538685,0.000860093,6.47051e-05,9.62835e-15,0.731984,0.807464,1.2526203561707863,1.5966529604499846,53.8685,13.292507082131083,14217187001.795485,0.9579917762699907
2.8e-07,1.75,1.2,1e-05,0.000589236,0.000878776,7.26309e-05,9.63727e-15,0.725419,0.84737,1.3410379892031645,1.491382060838102,58.9236,12.099202956317491,14512568836.457153,0.8948292365028612
2.8e-07,1.8,1.2,1e-05,0.000636556,0.000893213,8.07053e-05,9.6451e-15,0.722701,0.884434,1.425317365510802,1.4031962623869698,63.6556,11.067587878367345,14739014026.18336,0.8419177574321819
2.8e-07,0.3,1.65,1e-05,8.72468e-11,2.34002e-09,3.73316e-11,4.68127e-15,0.731568,0.046633,0.07456927718566508,26.82069714877795,8.724679999999998e-06,62.68201737937832,79556.56262806822,22.127075147741806
2.8e-07,0.35,1.65,1e-05,3.81416e-10,1.01876e-08,1.6271e-10,4.74206e-15,0.726565,0.0466371,0.07487847972044445,26.709943998154248,3.8141599999999994e-05,62.61200909593756,341920.36757084326,22.035703798477254
2.8e-07,0.4,1.65,1e-05,1.636e-09,4.33278e-08,6.93536e-10,4.9148e-15,0.721935,0.0466583,0.07551733529050633,26.48398533007335,0.0001636,62.47375767083467,1403075.1085083876,21.84928789731051
