L (GM/ID=ID/W (GM/ID=8)),ID/W
2.8e-07,11.10220424052656
3e-07,10.58447502260767
3.5e-07,9.485924374096065
4e-07,8.596010588030785
5e-07,7.237735785355056
6e-07,6.110886794053904
8e-07,4.651932947397961
1e-06,3.751563584273618
1.2e-06,3.1436635548335348
1.5e-06,2.4579476949281047
2e-06,1.7949197801653154
3e-06,1.16032266404459
4e-06,0.8557011527688961
5e-06,0.6771773679373931
7e-06,0.4775941376363056
1e-05,0.33101542455517485
